rank,place,state,usable_clips,top_subject_1,top_subject_2,top_subject_3,clips_with_year
"1","Mussoorie","Uttarakhand","882","hills","wildlife","highway","170"
"2","Mumbai","Maharashtra","773","festival","coastline","highway","676"
"3","Allahabad","Uttar Pradesh","580","festival","river","temple","382"
"4","Kolkata","West Bengal","546","river","festival","highway","502"
"5","Puri","Odisha","538","temple","festival","river","110"
"6","Jammu","Jammu and Kashmir","500","hills","river","highway","233"
"7","Jabbarkhet","Uttarakhand","450","hills","wildlife","monsoon","51"
"8","Jaipur","Rajasthan","403","festival","wildlife","old town","179"
"9","Bengaluru","Karnataka","395","highway","river","temple","280"
"10","Varanasi","Uttar Pradesh","373","river","festival","temple","107"
"11","Raipur","Chhattisgarh","367","festival","railway","farmland","394"
"12","Pushkar","Rajasthan","366","festival","river","temple","46"
"13","Khajuraho","Madhya Pradesh","330","festival","temple","old town","208"
"14","Kaziranga","Assam","302","wildlife","highway","monsoon","225"
"15","Leh","Ladakh","294","hills","river","highway","171"
"16","Amarnath","Jammu and Kashmir","292","temple","festival","hills","33"
"17","Aizawl","Mizoram","289","hills","festival","river","117"
"18","Darjeeling","West Bengal","288","hills","railway","river","155"
"19","Surajkund","Haryana","281","festival","old town","bazaar","125"
"20","Spiti","Himachal Pradesh","279","hills","wildlife","river","41"
"21","Meerut","Uttar Pradesh","247","highway","river","bus","37"
"22","Haridwar","Uttarakhand","243","festival","river","highway","167"
"23","Manali","Himachal Pradesh","229","hills","river","highway","26"
"24","Agra","Uttar Pradesh","229","river","old town","temple","127"
"25","Landour","Uttarakhand","220","hills","wildlife","monsoon","53"
"26","Kohima","Nagaland","211","festival","wildlife","hills","133"
"27","Sohra","Meghalaya","198","hills","monsoon","river","9"
"28","Rishikesh","Uttarakhand","190","festival","river","school","94"
"29","Uttarkashi","Uttarakhand","186","hills","river","farmland","39"
"30","Gurugram","Haryana","179","highway","monsoon","bazaar","78"
"31","Corbett","Uttarakhand","164","wildlife","hills","river","88"
"32","Ahmedabad","Gujarat","163","river","temple","old town","84"
"33","Faridabad","Haryana","156","festival","old town","highway","84"
"34","Bhuj","Gujarat","154","festival","river","wildlife","64"
"35","Chennai","Tamil Nadu","151","coastline","festival","temple","77"
"36","Ajmer","Rajasthan","145","temple","festival","monsoon","33"
"37","Ayodhya","Uttar Pradesh","144","festival","temple","river","153"
"38","Shimla","Himachal Pradesh","144","hills","highway","temple","55"
"39","Panna","Madhya Pradesh","144","river","wildlife","monsoon","67"
"40","Sundarbans","West Bengal","142","river","wildlife","coastline","33"
"41","Dehradun","Uttarakhand","140","highway","hills","river","75"
"42","Srinagar","Jammu and Kashmir","140","river","hills","monsoon","87"
"43","Guwahati","Assam","140","festival","river","temple","24"
"44","Nashik","Maharashtra","139","river","festival","temple","73"
"45","Khichan","Rajasthan","138","wildlife","hills","river","6"
"46","Ziro","Arunachal Pradesh","132","farmland","hills","festival","71"
"47","Imphal","Manipur","131","festival","wildlife","river","72"
"48","Shillong","Meghalaya","129","hills","festival","wildlife","102"
"49","Ranthambore","Rajasthan","127","wildlife","river","railway","48"
"50","Visakhapatnam","Andhra Pradesh","124","coastline","highway","hills","89"
"51","Udaipur","Rajasthan","123","river","festival","highway","32"
"52","Noida","Uttar Pradesh","117","highway","river","festival","30"
"53","Gangasagar","West Bengal","116","festival","river","coastline","14"
"54","Nainital","Uttarakhand","115","river","hills","temple","32"
"55","Gangtok","Sikkim","109","hills","river","highway","70"
"56","Amritsar","Punjab","109","temple","highway","railway","58"
"57","Kullu","Himachal Pradesh","106","hills","festival","bazaar","17"
"58","Mathura","Uttar Pradesh","101","temple","coastline","festival","19"
"59","Bharatpur","Rajasthan","97","wildlife","river","hills","34"
"60","Nanda Devi","Uttarakhand","95","hills","festival","monsoon","40"
"61","Hyderabad","Telangana","93","river","bazaar","highway","44"
"62","Anandpur Sahib","Punjab","92","temple","river","festival","8"
"63","Jodhpur","Rajasthan","89","festival","river","temple","53"
"64","Jaisalmer","Rajasthan","87","highway","hills","temple","14"
"65","Dharamshala","Himachal Pradesh","86","hills","festival","temple","81"
"66","Jawai","Rajasthan","84","wildlife","hills","river","4"
"67","Thol","Gujarat","84","wildlife","river","coastline","62"
"68","Zanskar","Ladakh","80","hills","river","highway","25"
"69","Munnar","Kerala","80","hills","wildlife","river","3"
"70","Pune","Maharashtra","80","festival","highway","river","123"
"71","Nandurbar","Maharashtra","78","festival","hills","river","4"
"72","Alappuzha","Kerala","74","river","coastline","farmland","19"
"73","Ranchi","Jharkhand","70","temple","highway","festival","11"
"74","Chandigarh","Punjab","67","festival","bazaar","street food","68"
"75","Mysuru","Karnataka","65","temple","old town","river","43"
"76","Tungnath","Uttarakhand","64","hills","temple","festival","4"
"77","Gwalior","Madhya Pradesh","61","school","temple","railway","23"
"78","Pangong","Ladakh","55","river","highway","hills","5"
"79","Kedarnath","Uttarakhand","54","hills","river","temple","22"
"80","Patna","Bihar","54","river","temple","festival","26"
"81","Kochi","Kerala","53","coastline","river","temple","22"
"82","Vadodara","Gujarat","52","railway","highway","monsoon","16"
"83","Ooty","Tamil Nadu","51","hills","railway","river","11"
"84","Badrinath","Uttarakhand","49","hills","temple","river","11"
"85","Bikaner","Rajasthan","47","temple","highway","old town","3"
"86","Tawang","Arunachal Pradesh","47","river","festival","hills","16"
"87","Puducherry","Tamil Nadu","47","coastline","temple","festival","20"
"88","Matheran","Maharashtra","47","hills","railway","highway","0"
"89","Pithoragarh","Uttarakhand","46","hills","river","festival","11"
"90","Kargil","Ladakh","45","hills","river","festival","60"
"91","Chamoli","Uttarakhand","45","hills","river","temple","3"
"92","Yamunotri","Uttarakhand","43","river","temple","hills","8"
"93","Lucknow","Uttar Pradesh","42","festival","river","highway","25"
"94","Tehri","Uttarakhand","41","river","hills","festival","12"
"95","Kodaikanal","Tamil Nadu","41","hills","river","temple","4"
"96","Almora","Uttarakhand","37","hills","temple","monsoon","0"
"97","Coimbatore","Tamil Nadu","35","bazaar","highway","festival","13"
"98","Bhubaneswar","Odisha","34","temple","coastline","festival","16"
"99","Indore","Madhya Pradesh","34","river","highway","bazaar","34"
"100","Nubra","Ladakh","33","hills","river","highway","3"
